,product,flowertopia,toke,Shiva's rose,Growers Retail
0,0:10 CBD Gems | 15-pack,16,13.27,,
1,8 Ball Kush Shatter Double Infused Pre-Roll | 1g,16,,14.75,
2,Balanced Oil | 30ml,35.95,35.39,,
3,CBD Milk Chocolate,4.49,5.31,,
4,Chocolate Brownies,9.49,,11.98,
5,Cookies and Cream White Chocolate,4.99,5.31,,
6,Dissolvable THC Powder Single | 10mg,7.5,7.96,,
7,Funk Master,31,30.97,26.75,
8,Gnarberry,31,30.97,,
9,Grower's Choice Indica Pre-Roll | 1g,6.99,,5.95,
10,Hazy Honey | 0.5g,29.95,42.48,,
11,Japanese Citrus Yuzu 2:1 Sour Soft Chews,7.99,7.96,7.5,7.49
12,Jean Guy,17,141.59,,
13,Jean Guy Pre-Roll | 1g,8.2,7.96,,
14,Legacy Gorilla Cookies,18,,16.5,
15,Mandarin Cookie Pre-Roll 3-Pack | 1.5g,18.3,,17.5,
16,Mango Sour Soft Chews,6.99,7.96,,
17,Pink Kush Pre-Roll 10-pack | 3g,20,22.12,,
18,Pink Kush Pre-Roll 3-pack | 1.5g,11.5,10.62,,
19,Raspberry Cheesecake 1:1 Cookies | 2-Pack,9.4,,9.5,
20,Real Fruit Raspberry Soft Chew | 2-Pack,6.99,7.97,,
21,Reign Drops 30:0 | 30ml,33.14,,,33.25
22,Root Beer Float Pre-Roll 3-pack | 1.5g,22.6,22.12,,
23,SOURZ Blue Raspberry Watermelon,6.99,7.96,7.75,
24,SOURZ Peach Orange 1:1,7.5,7.96,7.75,
25,SOURZ Strawberry Mango Gummies,7.99,7.96,7.75,
26,Summer Punch Sparkling Beverage,6.99,6.19,,
27,XMG Citrus Beverage,8.5,8.85,,
28,XMG Mango Pineapple Beverage,7,8.85,,
29,XMG Tropical Fruit Beverage,7,8.85,,
30,XMG Watermelon Beverage,8.5,8.85,6.75,
